STORE_CD|PLU_CD|SCAN_CD1|SCAN_CD2|PLU_NM|BRAND_CD|GPLU_CDNRL_PRC|PRC_EVT_PRC|PRC_EVT_ST_DT|PRC_EVT_ED_DT
780|8802196014593|8802196014593|8802196014593|샤또 삐숑 꽁떼스 드 라랑드 2011|138392|550000|0||
780|8802196014609|8802196014609|8802196014609|샤또 브라네르 뒤크뤼 2013|138392|127000|0||
780|8802196014661|8802196014661|8802196014661|샤토 보이드 깡드냑|138392|140000|0||
780|8802196014869|8802196014869|8802196014869|샤또 무똥 로칠드 2015|138392|1900000|0||
780|8802196014890|8802196014890|8802196014890|샤또 무똥 로칠드 2011|138392|1460000|0||
780|8802196015026|8802196015026|8802196015026|샤또 마고 2019|130219|2400000|0||
780|8802196015170|8802196015170|8802196015170|샤또 레오빌 뿌아페레 2015|138392|300000|0||
780|8802196015200|8802196015200|8802196015200|샤또 레오빌 바르통 2018|138392|340000|0||
780|8802196015477|8802196015477|8802196015477|샤또 랑고아 바르통 2015|138392|170000|0||
780|8802196015491|8802196015491|8802196015491|샤또 라피트 로칠드 2019|138392|2800000|0||
780|8802196015866|8802196015866|8802196015866|샤또 디쌍 2019|138392|169000|0||
780|8802196015996|8802196015996|8802196015996|샤또 깡뜨냑 브라운 2019|138392|160000|0||
780|8436037404030|8436037404030|8436037404030|텔모로드리게즈데에사가고|136786|21000|0||
780|8436037406034|8436037406034|8436037406034|텔모 로드리게즈 알무베드르|136786|15000|0||
780|8436043583491|8436043583491|8436043583491|임페리오 템프라니요 셀렉시옹 N6|101235|30000|0||
780|8436043583507|8436043583507|8436043583507|임페리오 템프라니요 셀렉시옹 N12|101235|30000|0||
780|8436538813560|8436538813560|8436538813560|세라|138392|66000|0||
780|8436539762508|8436539762508|8436539762508|카파 벤디미아 셀렉시오나다|138392|18000|0||
780|8436549544941|8436549544941|8436549544941|베이리|112885|20000|0||
780|8436549547843|8436549547843|8436549547843|몬떼 레온 리미티드 에디션 뀌베 에스|112885|9000|0||
780|8436555720131|8436555720131|8436555720131|트리가|138392|96000|0||
780|8436555720186|8436555720186|8436555720186|볼베르|138392|39000|0||
780|8436555720230|8436555720230|8436555720230|타리마|138392|22000|0||
780|8436555720865|8436555720865|8436555720865|볼베르 뀌베|138392|71000|0||
780|8436557386441|8436557386441|8436557386441|엘 솔레아도 트리부토 시라|138392|45000|0||
780|8436559520720|8436559520720|8436559520720|카멜라 모스카텔 스파클링|138392|14000|0||
780|8436562260231|8436562260231|8436562260231|쎄로 길 뗌쁘라니요|138392|18000|0||
780|8436570000294|8436570000294|8436570000294|엘 카스티아 비우라 샤도네이|138392|20000|0||
780|8436570001246|8436570001246|8436570001246|엘 카스티아 모나스트렐|138392|20000|0||
780|8436577930013|8436577930013|8436577930013|로저 구라트 브륏|138392|31000|0||
780|8436577930327|8436577930327|8436577930327|로저 구라트 코랄 로제 브륏 750ml|138392|32000|0||
780|8436577930440|8436577930440|8436577930440|로저구라트, 로저구라트 로제 브륏|138392|31000|0||
780|8436577932048|8436577932048|8436577932048|로저구라트, 로저구라트 브륏 리제르바|138392|34000|0||
780|8801021213217|8801021213217|8801021213217|버드와이저(500ml/캔)|138392|3000|0||
780|8801021214320|8801021214320|8801021214320|호가든 캔500㎖|138392|2500|0||
780|8801021214375|8801021214375|8801021214375|호가든 355ml*6|138392|11000|0||
780|8801021217116|8801021217116|8801021217116|버드와이저 355ml 번들(6입)0g|138392|11000|0||
780|8801021220475|8801021220475|8801021220475|코로나 슬릭캔 355ml*6캔|138392|10000|0||
780|8801021220857|8801021220857|8801021220857|구스아일랜드 IPA (473ml/캔)|138392|2500|0||
780|8801021220864|8801021220864|8801021220864|구스아일랜드 312 (473ml/캔)|138392|2500|0||
780|8801021223575|8801021223575|8801021223575|구스아일랜드 덕덕구스(500ml/캔)|138392|2500|0||
780|8801021223636|8801021223636|8801021223636|파타고니아(500ml/캔)|138392|2500|0||
780|8801021224145|8801021224145|8801021224145|파타고니아 보헤미안 필스너(500ml/캔)|138392|2500|0||
780|8801021229232|8801021229232|8801021229232|호가든로제 500ml캔 (국산)|138392|2500|0||
780|8801021229263|8801021229263|8801021229263|호가든 로제|138392|2500|0||
780|8801021231150|8801021231150|8801021231150|호가든패키지|138392|9500|0||
780|8801027162045|8801027162045|8801027162045|디아지오 윈저17년 450ml|136760|51000|0||
780|8801027181046|8801027181046|8801027181046|디아지오 윈저12년 500ML|136760|34000|0||
780|8801027560032|8801027560032|8801027560032|길비스 보드카|138392|10000|0||
780|8801027880161|8801027880161|8801027880161|조니워커 xr750㎖|138392|188000|0||
780|8801027880185|8801027880185|8801027880185|제이앤비 제트|138392|48000|0||
780|8801027880215|8801027880215|8801027880215|제이엔비 레어0g|138392|45000|0||
780|8801027880222|8801027880222|8801027880222|제이앤비 리져브 15년|138392|68000|0||
780|8801027880239|8801027880239|8801027880239|제이앤비 리져브 15년|138392|100000|0||
780|8801027880512|8801027880512|8801027880512|길비스 진|138392|13000|0||
780|8801027880697|8801027880697|8801027880697|스미노프 레드(200ml/병)|138392|9000|0||
780|8801027880727|8801027880727|8801027880727|스미노프 그린애플700㎖|138392|36000|0||
